auth_name,code,name,description,scope,coordinate_system_auth_name,coordinate_system_code,geodetic_crs_auth_name,geodetic_crs_code,conversion_auth_name,conversion_code,area_of_use_auth_name,area_of_use_code,text_definition,deprecated
EPSG,2148,NAD83(CSRS98) / UTM zone 21N,,,EPSG,4400,EPSG,4140,EPSG,16021,EPSG,1446,,1
EPSG,2149,NAD83(CSRS98) / UTM zone 18N,,,EPSG,4400,EPSG,4140,EPSG,16018,EPSG,1443,,1
EPSG,2150,NAD83(CSRS98) / UTM zone 17N,,,EPSG,4400,EPSG,4140,EPSG,16017,EPSG,1428,,1
EPSG,2151,NAD83(CSRS98) / UTM zone 13N,,,EPSG,4400,EPSG,4140,EPSG,16013,EPSG,1506,,1
EPSG,2152,NAD83(CSRS98) / UTM zone 12N,,,EPSG,4400,EPSG,4140,EPSG,16012,EPSG,1507,,1
EPSG,2153,NAD83(CSRS98) / UTM zone 11N,,,EPSG,4400,EPSG,4140,EPSG,16011,EPSG,1508,,1
EPSG,2154,RGF93 / Lambert-93,,,EPSG,4499,EPSG,4171,EPSG,18085,EPSG,1096,,0
EPSG,2155,American Samoa 1962 / American Samoa Lambert,,,EPSG,4497,EPSG,4169,EPSG,15300,EPSG,1027,,1
EPSG,2156,NAD83(HARN) / UTM zone 59S,,,EPSG,4400,EPSG,4152,EPSG,16159,EPSG,1027,,1
EPSG,2157,IRENET95 / Irish Transverse Mercator,,,EPSG,4400,EPSG,4173,EPSG,19962,EPSG,1305,,0
EPSG,2158,IRENET95 / UTM zone 29N,,,EPSG,4400,EPSG,4173,EPSG,16029,EPSG,1305,,0
EPSG,2159,Sierra Leone 1924 / New Colony Grid,,,EPSG,4404,EPSG,4174,EPSG,19963,EPSG,1342,,0
EPSG,2160,Sierra Leone 1924 / New War Office Grid,,,EPSG,4404,EPSG,4174,EPSG,19964,EPSG,1342,,0
EPSG,2161,Sierra Leone 1968 / UTM zone 28N,,,EPSG,4400,EPSG,4175,EPSG,16028,EPSG,1509,,0
EPSG,2162,Sierra Leone 1968 / UTM zone 29N,,,EPSG,4400,EPSG,4175,EPSG,16029,EPSG,1510,,0
EPSG,2163,US National Atlas Equal Area,,,EPSG,4499,EPSG,4052,EPSG,3899,EPSG,1245,,0
EPSG,2164,Locodjo 1965 / TM 5 NW,,,EPSG,4400,EPSG,4142,EPSG,17005,EPSG,2296,,0
EPSG,2165,Abidjan 1987 / TM 5 NW,,,EPSG,4400,EPSG,4143,EPSG,17005,EPSG,2296,,0
EPSG,2166,Pulkovo 1942(83) / Gauss Kruger zone 3,,,EPSG,4530,EPSG,4178,EPSG,16263,EPSG,1512,,1
EPSG,2167,Pulkovo 1942(83) / Gauss Kruger zone 4,,,EPSG,4530,EPSG,4178,EPSG,16264,EPSG,1513,,1
EPSG,2168,Pulkovo 1942(83) / Gauss Kruger zone 5,,,EPSG,4530,EPSG,4178,EPSG,16265,EPSG,1512,,1
EPSG,2169,Luxembourg 1930 / Gauss,,,EPSG,4530,EPSG,4181,EPSG,19966,EPSG,1146,,0
EPSG,2170,MGI / Slovenia Grid,,,EPSG,4530,EPSG,4312,EPSG,19967,EPSG,1212,,1
EPSG,2171,Pulkovo 1942(58) / Poland zone I,,,EPSG,4530,EPSG,4179,EPSG,18281,EPSG,1515,,1
EPSG,2172,Pulkovo 1942(58) / Poland zone II,,,EPSG,4530,EPSG,4179,EPSG,18282,EPSG,1516,,0
EPSG,2173,Pulkovo 1942(58) / Poland zone III,,,EPSG,4530,EPSG,4179,EPSG,18283,EPSG,1517,,0
EPSG,2174,Pulkovo 1942(58) / Poland zone IV,,,EPSG,4530,EPSG,4179,EPSG,18284,EPSG,1518,,0
EPSG,2175,Pulkovo 1942(58) / Poland zone V,,,EPSG,4530,EPSG,4179,EPSG,18285,EPSG,1519,,0
EPSG,2176,ETRS89 / Poland CS2000 zone 5,,,EPSG,4531,EPSG,4258,EPSG,18305,EPSG,1520,,0
